datetime,code,open,high,low,close,volume,position,price,tradetime,type
2020-01-17 13:38:00,RB2005,3589.0002441406,3591.0002441406,3588.0002441406,3590.0002441406,1860.0,1391984.0,0.0,2020-01-17 13:38,1min
2020-01-17 13:39:00,RB2005,3590.0002441406,3592.0002441406,3589.0002441406,3591.0002441406,1118.0,1391688.0,0.0,2020-01-17 13:39,1min
2020-01-17 13:40:00,RB2005,3592.0002441406,3594.0002441406,3591.0002441406,3593.0002441406,2888.0,1392189.0,0.0,2020-01-17 13:40,1min
2020-01-17 13:41:00,RB2005,3592.0002441406,3593.0002441406,3592.0002441406,3592.0002441406,839.0,1392197.0,0.0,2020-01-17 13:41,1min
2020-01-17 13:42:00,RB2005,3593.0002441406,3593.0002441406,3592.0002441406,3593.0002441406,518.0,1392251.0,0.0,2020-01-17 13:42,1min
2020-01-17 13:43:00,RB2005,3592.0002441406,3593.0002441406,3592.0002441406,3592.0002441406,257.0,1392322.0,0.0,2020-01-17 13:43,1min
2020-01-17 13:44:00,RB2005,3593.0002441406,3593.0002441406,3591.0002441406,3591.0002441406,732.0,1392288.0,0.0,2020-01-17 13:44,1min
2020-01-17 13:45:00,RB2005,3591.0002441406,3593.0002441406,3591.0002441406,3591.0002441406,665.0,1392324.0,0.0,2020-01-17 13:45,1min
2020-01-17 13:46:00,RB2005,3591.0002441406,3592.0002441406,3591.0002441406,3591.0002441406,350.0,1392434.0,0.0,2020-01-17 13:46,1min
2020-01-17 13:47:00,RB2005,3592.0002441406,3592.0002441406,3591.0002441406,3592.0002441406,416.0,1392562.0,0.0,2020-01-17 13:47,1min
2020-01-17 13:48:00,RB2005,3592.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,706.0,1392539.0,0.0,2020-01-17 13:48,1min
2020-01-17 13:49:00,RB2005,3593.0002441406,3593.0002441406,3592.0002441406,3593.0002441406,305.0,1392517.0,0.0,2020-01-17 13:49,1min
2020-01-17 13:50:00,RB2005,3592.0002441406,3594.0002441406,3592.0002441406,3593.0002441406,1356.0,1392435.0,0.0,2020-01-17 13:50,1min
2020-01-17 13:51:00,RB2005,3593.0002441406,3595.0002441406,3593.0002441406,3594.0002441406,1574.0,1392149.0,0.0,2020-01-17 13:51,1min
2020-01-17 13:52:00,RB2005,3595.0002441406,3597.0002441406,3594.0002441406,3596.0002441406,3600.0,1393072.0,0.0,2020-01-17 13:52,1min
2020-01-17 13:53:00,RB2005,3596.0002441406,3597.0002441406,3594.0002441406,3595.0002441406,1599.0,1393613.0,0.0,2020-01-17 13:53,1min
2020-01-17 13:54:00,RB2005,3595.0002441406,3596.0002441406,3595.0002441406,3595.0002441406,1314.0,1393651.0,0.0,2020-01-17 13:54,1min
2020-01-17 13:55:00,RB2005,3595.0002441406,3596.0002441406,3594.0002441406,3594.0002441406,1461.0,1393629.0,0.0,2020-01-17 13:55,1min
2020-01-17 13:56:00,RB2005,3595.0002441406,3595.0002441406,3594.0002441406,3595.0002441406,394.0,1393898.0,0.0,2020-01-17 13:56,1min
2020-01-17 13:57:00,RB2005,3594.0002441406,3595.0002441406,3594.0002441406,3594.0002441406,437.0,1393949.0,0.0,2020-01-17 13:57,1min
2020-01-17 13:58:00,RB2005,3594.0002441406,3595.0002441406,3593.0002441406,3594.0002441406,1327.0,1394245.0,0.0,2020-01-17 13:58,1min
2020-01-17 13:59:00,RB2005,3594.0002441406,3595.0002441406,3593.0002441406,3593.0002441406,1006.0,1394795.0,0.0,2020-01-17 13:59,1min
2020-01-17 14:00:00,RB2005,3594.0002441406,3595.0002441406,3593.0002441406,3594.0002441406,534.0,1394875.0,0.0,2020-01-17 14:00,1min
2020-01-17 14:01:00,RB2005,3595.0002441406,3597.0002441406,3595.0002441406,3596.0002441406,2515.0,1395132.0,0.0,2020-01-17 14:01,1min
2020-01-17 14:02:00,RB2005,3596.0002441406,3597.0002441406,3596.0002441406,3596.0002441406,1353.0,1395725.0,0.0,2020-01-17 14:02,1min
2020-01-17 14:03:00,RB2005,3597.0002441406,3597.0002441406,3595.0002441406,3595.0002441406,903.0,1396000.0,0.0,2020-01-17 14:03,1min
2020-01-17 14:04:00,RB2005,3595.0002441406,3596.0002441406,3595.0002441406,3595.0002441406,374.0,1396120.0,0.0,2020-01-17 14:04,1min
2020-01-17 14:05:00,RB2005,3596.0002441406,3596.0002441406,3595.0002441406,3595.0002441406,420.0,1396305.0,0.0,2020-01-17 14:05,1min
2020-01-17 14:06:00,RB2005,3596.0002441406,3596.0002441406,3595.0002441406,3596.0002441406,1262.0,1396453.0,0.0,2020-01-17 14:06,1min
2020-01-17 14:07:00,RB2005,3596.0002441406,3598.0002441406,3596.0002441406,3598.0002441406,2023.0,1396789.0,0.0,2020-01-17 14:07,1min
2020-01-17 14:08:00,RB2005,3597.0002441406,3602.0002441406,3597.0002441406,3601.0002441406,20462.0,1399599.0,0.0,2020-01-17 14:08,1min
2020-01-17 14:09:00,RB2005,3601.0002441406,3602.0002441406,3599.0002441406,3600.0002441406,6630.0,1399125.0,0.0,2020-01-17 14:09,1min
